Country,Cost of Living Index
Bermuda,146.04
Switzerland,123.35
Norway,100.9
Iceland,94.86
Israel,88.05
Denmark,84.12
Singapore,83.98
Hong Kong,80.71
Luxembourg,80.5
Australia,77.75
